CPT,FLEX,FLEX,FLEX,FLEX,FLEX,Budget,FPPG,Total Ownership
Josh Allen(23542881),Allen Robinson II(23542948),Devin Singletary(23542946),Gabe Davis(23542945),Isaiah McKenzie(23542965),Stefon Diggs(23542943),49800.0,111.25,215.1
Josh Allen(23542881),Allen Robinson II(23542948),Ben Skowronek(23542967),Cooper Kupp(23542940),Isaiah McKenzie(23542965),Stefon Diggs(23542943),49800.0,111.15,236.3
Allen Robinson II(23542888),Cooper Kupp(23542940),Darrell Henderson Jr.(23542956),Isaiah McKenzie(23542965),Josh Allen(23542941),Stefon Diggs(23542943),49900.0,111.1,272.5
Stefon Diggs(23542883),Allen Robinson II(23542948),Darrell Henderson Jr.(23542956),Isaiah McKenzie(23542965),Josh Allen(23542941),Matthew Stafford(23542942),49700.0,110.9,241.6
Josh Allen(23542881),Allen Robinson II(23542948),Darrell Henderson Jr.(23542956),Gabe Davis(23542945),Isaiah McKenzie(23542965),Matthew Stafford(23542942),49400.0,109.95,203.4
Josh Allen(23542881),Allen Robinson II(23542948),Cooper Kupp(23542940),Gabe Davis(23542945),Isaiah McKenzie(23542965),Matt Gay(23542960),50000.0,109.65,228.7
Josh Allen(23542881),Allen Robinson II(23542948),Darrell Henderson Jr.(23542956),Gabe Davis(23542945),Isaiah McKenzie(23542965),Stefon Diggs(23542943),47600.0,109.55,207.7
Darrell Henderson Jr.(23542896),Allen Robinson II(23542948),Cooper Kupp(23542940),Isaiah McKenzie(23542965),Josh Allen(23542941),Stefon Diggs(23542943),49200.0,109.45,288.0
Josh Allen(23542881),Darrell Henderson Jr.(23542956),Isaiah McKenzie(23542965),Matthew Stafford(23542942),Stefon Diggs(23542943),Tyler Bass(23542959),49000.0,109.35,204.9
Josh Allen(23542881),Allen Robinson II(23542948),Isaiah McKenzie(23542965),James Cook(23542963),Matthew Stafford(23542942),Stefon Diggs(23542943),49200.0,109.15,216.9
Josh Allen(23542881),Allen Robinson II(23542948),Darrell Henderson Jr.(23542956),Gabe Davis(23542945),Stefon Diggs(23542943),Tyler Bass(23542959),49200.0,109.15,193.7
Josh Allen(23542881),Cooper Kupp(23542940),Isaiah McKenzie(23542965),Matt Gay(23542960),Stefon Diggs(23542943),Tyler Bass(23542959),49600.0,109.05,230.2
Isaiah McKenzie(23542905),Allen Robinson II(23542948),Gabe Davis(23542945),Josh Allen(23542941),Matthew Stafford(23542942),Stefon Diggs(23542943),48800.0,109.05,268.6
Isaiah McKenzie(23542905),Allen Robinson II(23542948),Cooper Kupp(23542940),Darrell Henderson Jr.(23542956),Josh Allen(23542941),Matthew Stafford(23542942),49800.0,108.95,266.8
Josh Allen(23542881),Allen Robinson II(23542948),Cooper Kupp(23542940),Devin Singletary(23542946),Isaiah McKenzie(23542965),Tyler Bass(23542959),50000.0,108.95,219.3
