Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,,,Projected Ownership,Roster Position
81116-55050,RB,Christian,Christian McCaffrey,McCaffrey,16.76,3,8800,ARI@CAR,CAR,ARI,Q,Thigh,,,8499%,RB/FLEX
81116-45889,WR,Davante,Davante Adams,Adams,16.74,3,7900,DEN@LV,LV,DEN,,,,,8353%,WR/FLEX
81116-63484,QB,Kyler,Kyler Murray,Murray,18.51,3,7800,ARI@CAR,ARI,CAR,,,,,4230%,QB
81116-86687,WR,Marquise,Marquise Brown,Brown,11.43,3,7700,ARI@CAR,ARI,CAR,Q,Foot,,,5238%,WR/FLEX
81116-6894,QB,Aaron,Aaron Rodgers,Rodgers,16.94,3,7400,NE@GB,GB,NE,,,,,129%,QB
81116-40442,RB,Aaron,Aaron Jones,Jones,13.45,3,7300,NE@GB,GB,NE,,,,,824%,RB/FLEX
81116-45859,QB,Derek,Derek Carr,Carr,17.92,3,7200,DEN@LV,LV,DEN,,,,,3316%,QB
81116-22015,QB,Russell,Russell Wilson,Wilson,16.88,3,7100,DEN@LV,DEN,LV,,,,,1524%,QB
81116-93541,RB,Javonte,Javonte Williams,Williams,12.89,3,6900,DEN@LV,DEN,LV,,,,,2980%,RB/FLEX
81116-57403,WR,Courtland,Courtland Sutton,Sutton,12.36,3,6800,DEN@LV,DEN,LV,,,,,7808%,WR/FLEX
81116-40687,RB,James,James Conner,Conner,12.98,3,6800,ARI@CAR,ARI,CAR,,,,,4664%,RB/FLEX
81116-41535,QB,Baker,Baker Mayfield,Mayfield,16.27,3,6600,ARI@CAR,CAR,ARI,,,,,713%,QB
81116-72731,RB,Josh,Josh Jacobs,Jacobs,13.59,3,6500,DEN@LV,LV,DEN,,,,,8010%,RB/FLEX
81116-28900,RB,Melvin,Melvin Gordon III,Gordon III,9.38,3,6500,DEN@LV,DEN,LV,,,,,447%,RB/FLEX
81116-93107,RB,AJ,AJ Dillon,Dillon,13.13,3,6500,NE@GB,GB,NE,,,,,965%,RB/FLEX
81116-25011,TE,Darren,Darren Waller,Waller,9.87,3,6500,DEN@LV,LV,DEN,,,,,4284%,TE/FLEX
81116-90561,WR,Jerry,Jerry Jeudy,Jeudy,11.01,3,6500,DEN@LV,DEN,LV,,,,,1811%,WR/FLEX
81116-7872,QB,Brian,Brian Hoyer,Hoyer,12.03,5,6300,NE@GB,NE,GB,,,,,217%,QB
81116-64576,RB,Damien,Damien Harris,Harris,9.49,3,6200,NE@GB,NE,GB,,,,,606%,RB/FLEX
81116-63043,WR,DJ,DJ Moore,Moore,11.37,3,6100,ARI@CAR,CAR,ARI,,,,,3128%,WR/FLEX
81116-56809,WR,Allen,Allen Lazard,Lazard,8.37,2,6000,NE@GB,GB,NE,,,,,131%,WR/FLEX
81116-94370,WR,Romeo,Romeo Doubs,Doubs,8.38,3,5900,NE@GB,GB,NE,,,,,314%,WR/FLEX
81116-111540,RB,Rhamondre,Rhamondre Stevenson,Stevenson,9.68,3,5900,NE@GB,NE,GB,,,,,1005%,RB/FLEX
81116-25267,WR,Mack,Mack Hollins,Hollins,10,3,5800,DEN@LV,LV,DEN,,,,,2752%,WR/FLEX
81116-26251,WR,Robbie,Robbie Anderson,Anderson,8.3,3,5700,ARI@CAR,CAR,ARI,,,,,786%,WR/FLEX
81116-33260,WR,DeVante,DeVante Parker,Parker,7.65,3,5700,NE@GB,NE,GB,,,,,158%,WR/FLEX
81116-85762,RB,Eno,Eno Benjamin,Benjamin,4.92,3,5600,ARI@CAR,ARI,CAR,,,,,71%,RB/FLEX
81116-29683,WR,Nelson,Nelson Agholor,Agholor,6.17,3,5600,NE@GB,NE,GB,,,,,40%,WR/FLEX
