"Player","Team","Opponent","FD Position","FD Salary","FD Projection","FD Value","FD Ownership","FDSlateID","FD Ceiling"
"Josh Allen","BUF","BAL","QB","8900","26.4","5.0","25.0","81077-62239","36.0"
"Jalen Hurts","PHI","JAX","QB","8600","23.6","3.1","21.6","81077-69531","34.2"
"Lamar Jackson","BAL","BUF","QB","8800","22.3","1.2","11.5","81077-63115","31.5"
"Justin Herbert","LAC","HOU","QB","8000","20.6","1.9","4.1","81077-69189","28.0"
"Marcus Mariota","ATL","CLE","QB","7300","19.5","3.0","6.6","81077-29358","27.9"
"Jonathan Taylor","IND","TEN","RB","8700","19.4","4.2","31.3","81077-89675","27.2"
"Derek Carr","LV","DEN","QB","7200","18.7","2.4","5.3","81077-45859","25.1"
"Kyler Murray","ARI","CAR","QB","7800","18.3","0.3","2.1","81077-63484","26.6"
"Saquon Barkley","NYG","CHI","RB","8100","18.2","4.2","30.9","81077-64401","25.5"
"Aaron Rodgers","GB","NE","QB","7400","17.5","0.7","1.8","81077-6894","24.8"
"Jared Goff","DET","SEA","QB","7600","17.3","-0.1","1.2","81077-38435","23.5"
"Austin Ekeler","LAC","HOU","RB","8400","17.3","2.7","16.5","81077-80001","25.9"
"Daniel Jones","NYG","CHI","QB","7000","17.2","1.6","2.5","81077-63519","22.7"
"Russell Wilson","DEN","LV","QB","7100","17.0","1.0","1.6","81077-22015","23.2"
"Geno Smith","SEA","DET","QB","6600","17.0","2.5","5.4","81077-26483","22.8"
"Jacoby Brissett","CLE","ATL","QB","6800","16.8","1.8","1.6","81077-30231","22.4"
"Stefon Diggs","BUF","BAL","WR","8700","16.5","1.3","17.4","81077-25079","26.4"
"Davante Adams","LV","DEN","WR","7900","16.1","2.5","25.8","81077-45889","25.6"
"Mitch Trubisky","PIT","NYJ","QB","6500","16.0","1.9","2.6","81077-38628","22.4"
"Christian McCaffrey","CAR","ARI","RB","8800","15.6","0.2","16.0","81077-55050","23.0"
"Baker Mayfield","CAR","ARI","QB","6600","15.4","1.0","2.6","81077-41535","21.8"
"Ryan Tannehill","TEN","IND","QB","6800","15.2","0.2","0.5","81077-21948","20.9"
"Carson Wentz","WAS","DAL","QB","6900","15.2","-0.2","0.6","81077-70324","21.3"
"Cooper Rush","DAL","WAS","QB","6400","15.1","1.3","1.6","81077-44715","20.6"
"Nick Chubb","CLE","ATL","RB","9200","15.0","-1.2","3.7","81077-53562","23.7"
"Davis Mills","HOU","LAC","QB","6400","14.9","1.1","0.7","81077-89628","19.0"
"Matt Ryan","IND","TEN","QB","6700","14.8","0.1","0.9","81077-6616","21.2"
"Khalil Herbert","CHI","NYG","RB","7200","14.7","2.5","20.7","81077-72412","22.5"
"Zach Wilson","NYJ","PIT","QB","6500","14.7","0.6","0.5","81077-90406","19.5"
"Derrick Henry","TEN","IND","RB","8600","14.7","-0.3","4.3","81077-39280","22.2"
"Mark Andrews","BAL","BUF","TE","8400","14.6","-0.1","8.9","81077-52436","22.7"
"Trevor Lawrence","JAX","PHI","QB","7500","14.6","-2.5","0.5","81077-89951","20.0"
"Najee Harris","PIT","NYJ","RB","7000","14.6","2.7","24.1","81077-90575","21.9"
"Justin Fields","CHI","NYG","QB","6700","14.5","-0.2","0.5","81077-91591","20.6"
"Jamaal Williams","DET","SEA","RB","7400","14.4","1.8","22.5","81077-45631","22.4"
"Josh Jacobs","LV","DEN","RB","6500","14.0","3.2","22.5","81077-72731","20.7"
"CeeDee Lamb","DAL","WAS","WR","6800","13.9","2.4","21.2","81077-86631","22.1"
"Javonte Williams","DEN","LV","RB","6900","13.6","2.0","11.6","81077-93541","20.1"
"Aaron Jones","GB","NE","RB","7300","13.5","1.0","11.3","81077-40442","21.3"
"Courtland Sutton","DEN","LV","WR","6800","13.3","1.9","20.4","81077-57403","20.9"
"Tyler Lockett","SEA","DET","WR","6900","13.3","1.6","16.0","81077-27050","20.7"
"James Conner","ARI","CAR","RB","6800","13.0","1.5","8.8","81077-40687","18.5"
"AJ Dillon","GB","NE","RB","6500","13.0","2.1","9.7","81077-93107","19.4"
"Diontae Johnson","PIT","NYJ","WR","7000","12.8","0.9","16.9","81077-66008","19.6"
"Amari Cooper","CLE","ATL","WR","7500","12.6","-0.3","3.2","81077-31001","20.4"
"Mike Williams","LAC","HOU","WR","7200","12.6","0.3","6.4","81077-39829","21.1"
"A.J. Brown","PHI","JAX","WR","8300","12.6","-1.9","4.9","81077-72846","20.3"
"DK Metcalf","SEA","DET","WR","7100","12.6","0.6","10.5","81077-73048","19.3"
"Drake London","ATL","CLE","WR","6300","12.5","2.1","19.9","81077-112745","18.8"
"Brandin Cooks","HOU","LAC","WR","6400","12.1","1.5","21.4","81077-29501","19.0"
"Dameon Pierce","HOU","LAC","RB","6800","11.9","0.4","5.9","81077-86055","18.9"
"Antonio Gibson","WAS","DAL","RB","6600","11.9","0.9","5.7","81077-90933","18.1"
"Michael Pittman Jr.","IND","TEN","WR","7500","11.8","-1.1","8.4","81077-69213","20.4"
"Christian Kirk","JAX","PHI","WR","7600","11.7","-1.4","2.6","81077-60858","19.0"
"Miles Sanders","PHI","JAX","RB","6600","11.6","0.6","6.1","81077-71845","18.0"
"James Robinson","JAX","PHI","RB","7800","11.4","-2.0","0.5","81077-130288","19.0"
"Curtis Samuel","WAS","DAL","WR","6200","11.4","1.2","13.8","81077-52613","17.9"
"Marquise Brown","ARI","CAR","WR","7700","11.3","-2.0","1.3","81077-86687","17.8"
"Rashaad Penny","SEA","DET","RB","6700","11.3","0.1","0.6","81077-57840","17.7"
"Cordarrelle Patterson","ATL","CLE","RB","7600","11.2","-1.8","3.9","81077-30733","16.8"
"DJ Moore","CAR","ARI","WR","6100","11.2","1.1","12.6","81077-63043","17.4"
"Ezekiel Elliott","DAL","WAS","RB","6400","11.2","0.6","8.8","81077-38791","17.8"
"Brian Hoyer","NE","GB","QB","6300","11.1","-2.4","0.5","81077-7872","16.8"
"Josh Reynolds","DET","SEA","WR","5900","10.7","1.0","15.9","81077-53097","17.4"
"Kyle Pitts","ATL","CLE","TE","6100","10.6","0.5","14.4","81077-86080","16.3"
"Kareem Hunt","CLE","ATL","RB","6100","10.6","0.6","9.2","81077-45229","16.7"
"Jerry Jeudy","DEN","LV","WR","6500","10.6","-0.3","1.4","81077-90561","17.1"
"Darren Waller","LV","DEN","TE","6500","10.6","-0.3","13.4","81077-25011","17.1"
"Mack Hollins","LV","DEN","WR","5800","10.5","1.0","5.2","81077-25267","16.2"
"Gabe Davis","BUF","BAL","WR","6500","10.4","-0.4","0.6","81077-94534","16.8"
"Devin Singletary","BUF","BAL","RB","6200","10.3","0.0","1.8","81077-70603","15.1"
"Tony Pollard","DAL","WAS","RB","6000","10.3","0.5","2.7","81077-63759","15.6"
"Joshua Palmer","LAC","HOU","WR","5800","10.0","0.5","6.2","81077-87418","16.3"
"Richie James Jr.","NYG","CHI","WR","5500","9.8","0.9","11.1","81077-53498","15.6"
"Michael Carter","NYJ","PIT","RB","5700","9.8","0.5","2.7","81077-93539","16.1"
"DeVonta Smith","PHI","JAX","WR","6900","9.8","-1.8","1.1","81077-90576","17.0"
"Terry McLaurin","WAS","DAL","WR","6700","9.7","-1.6","1.3","81077-56250","16.0"
"Damien Harris","NE","GB","RB","6200","9.6","-0.7","0.5","81077-64576","13.9"
"Breece Hall","NYJ","PIT","RB","6300","9.5","-1.0","0.5","81077-103064","14.9"
"Garrett Wilson","NYJ","PIT","WR","6100","9.5","-0.5","3.3","81077-103564","14.9"
"Robbie Anderson","CAR","ARI","WR","5700","9.4","0.1","1.7","81077-26251","13.9"
"Rhamondre Stevenson","NE","GB","RB","5900","9.4","-0.3","1.1","81077-111540","15.0"
"Chase Claypool","PIT","NYJ","WR","5700","9.2","-0.1","4.2","81077-73111","14.1"
"Pat Freiermuth","PIT","NYJ","TE","5600","9.1","0.0","7.7","81077-86244","14.6"
"J.K. Dobbins","BAL","BUF","RB","5800","9.0","-0.5","0.6","81077-87787","13.4"
"Melvin Gordon III","DEN","LV","RB","6500","9.0","-1.9","0.5","81077-28900","14.1"
"T.J. Hockenson","DET","SEA","TE","5400","9.0","0.3","24.3","81077-71706","14.3"
"Allen Lazard","GB","NE","WR","6000","9.0","-0.9","1.2","81077-56809","14.9"
"Robert Woods","TEN","IND","WR","5800","8.9","-0.6","1.0","81077-29685","14.0"
"Rashod Bateman","BAL","BUF","WR","6600","8.7","-2.4","1.5","81077-85845","15.1"
"Green Bay Packers","GB","NE","D","5000","8.7","0.8","5.9","81077-12533","14.1"
"Pittsburgh Steelers","PIT","NYJ","D","4800","8.7","1.2","6.0","81077-12547","14.2"
"Craig Reynolds","DET","SEA","RB","5100","8.3","0.2","0.5","81077-104424","14.7"
"Elijah Moore","NYJ","PIT","WR","5500","8.2","-0.7","2.8","81077-88575","12.1"
"Dallas Goedert","PHI","JAX","TE","6200","8.2","-2.1","2.8","81077-83074","14.1"
"Kalif Raymond","DET","SEA","WR","4900","8.1","0.4","11.1","81077-70422","14.5"
"Zay Jones","JAX","PHI","WR","5900","8.1","-1.5","0.5","81077-41305","13.3"
"Dallas Cowboys","DAL","WAS","D","4700","8.1","0.8","3.9","81077-12530","13.3"
"David Njoku","CLE","ATL","TE","5700","8.0","-1.2","2.7","81077-55335","13.2"
"Romeo Doubs","GB","NE","WR","5900","8.0","-1.7","5.8","81077-94370","13.7"
"Nico Collins","HOU","LAC","WR","5300","7.9","-0.6","0.9","81077-91419","13.5"
"New York Giants","NYG","CHI","D","4300","7.8","1.3","7.2","81077-12543","12.9"
"Noah Brown","DAL","WAS","WR","5600","7.7","-1.4","0.6","81077-56248","14.2"
"Travis Etienne Jr.","JAX","PHI","RB","5700","7.7","-1.6","0.5","81077-89956","13.3"
"Zach Ertz","ARI","CAR","TE","5500","7.6","-1.3","8.3","81077-29780","12.6"
"Darnell Mooney","CHI","NYG","WR","5800","7.6","-1.9","0.5","81077-69777","11.5"
"Philadelphia Eagles","PHI","JAX","D","4600","7.5","0.4","1.8","81077-12545","12.5"
"Marvin Jones Jr.","JAX","PHI","WR","5400","7.4","-1.3","0.8","81077-22103","12.9"
"Los Angeles Chargers","LAC","HOU","D","4400","7.4","0.7","2.8","81077-12548","12.4"
"Robert Tonyan","GB","NE","TE","4900","7.3","-0.4","3.8","81077-80353","12.6"
"Nyheim Hines","IND","TEN","RB","5100","7.3","-0.8","0.5","81077-63625","12.9"
"Gerald Everett","LAC","HOU","TE","5500","7.3","-1.6","5.6","81077-57299","12.9"
"Treylon Burks","TEN","IND","WR","5700","7.3","-2.0","1.3","81077-110259","12.1"
"Quintez Cephus","DET","SEA","WR","4600","7.2","0.0","3.7","81077-71957","12.0"
"Rex Burkhead","HOU","LAC","RB","5100","7.1","-1.0","0.5","81077-27338","12.7"
"Nelson Agholor","NE","GB","WR","5600","7.0","-2.1","0.5","81077-29683","10.6"
"J.D. McKissic","WAS","DAL","RB","5300","7.0","-1.5","0.5","81077-43334","12.1"
"Chicago Bears","CHI","NYG","D","4100","7.0","0.8","2.2","81077-12527","11.7"
"Donovan Peoples-Jones","CLE","ATL","WR","5400","6.8","-1.9","0.5","81077-91426","11.5"
