Player,Team,Opponent,FD Position,FD Salary,FD Projection,FD Value,FD Ownership,FDSlateID,FD Ceiling
Dalvin Cook,MIN,CHI,RB,7300,16.8,4.4,30.5,81398-54140,25.9
Deebo Samuel,SF,CAR,WR,7300,16.5,4,30.6,81398-56018,25.4
Teddy Bridgewater,MIA,NYJ,QB,6400,17.7,3.9,8.8,81398-33259,25.5
Jalen Hurts,PHI,ARI,QB,8600,24.4,3.9,24,81398-69531,35.7
Jeff Wilson Jr.,SF,CAR,RB,6500,14.7,3.8,27.8,81398-55552,23.1
Josh Allen,BUF,PIT,QB,9000,25.3,3.7,27,81398-62239,35
Tom Brady,TB,ATL,QB,7800,21.8,3.7,11,81398-6498,30.7
Leonard Fournette,TB,ATL,RB,7800,17.1,3.6,24.3,81398-52922,22.9
Devin Singletary,BUF,PIT,RB,6000,13.4,3.5,24.6,81398-70603,20.6
Alvin Kamara,NO,SEA,RB,7000,15.3,3.5,26.8,81398-42104,23.2
Rhamondre Stevenson,NE,DET,RB,6000,12.7,2.8,23.7,81398-111540,19.4
Raheem Mostert,MIA,NYJ,RB,5800,12.2,2.7,13.8,81398-28744,18.2
Andy Dalton,NO,SEA,QB,6500,16.7,2.6,4.8,81398-14225,23.1
Mike Evans,TB,ATL,WR,7500,15.5,2.6,16.7,81398-32384,25.3
San Francisco 49ers,SF,CAR,D,4400,9.3,2.6,15.5,81398-12549,15
Kirk Cousins,MIN,CHI,QB,7100,18.3,2.4,6.2,81398-22038,23.9
Cooper Kupp,LA,DAL,WR,9500,18.9,2.1,22.9,81398-79970,30
Drake London,ATL,TB,WR,6200,12.2,1.9,22.7,81398-112745,17.7
Tyreek Hill,MIA,NYJ,WR,8400,16.4,1.8,13,81398-53681,26.5
Damien Harris,NE,DET,RB,7200,14.1,1.8,9.9,81398-64576,22.6
Minnesota Vikings,MIN,CHI,D,4300,8.3,1.8,9,81398-12540,13.6
Chris Godwin,TB,ATL,WR,7000,13.5,1.7,15,81398-55635,22
Seattle Seahawks,SEA,NO,D,3100,5.9,1.7,10.7,81398-12550,10.3
Washington Commanders,WAS,TEN,D,3200,6.1,1.7,11.1,81398-12552,10.5
Tyler Higbee,LA,DAL,TE,5500,10.5,1.6,29.2,81398-47870,15.8
Breece Hall,NYJ,MIA,RB,6600,12.7,1.6,9.6,81398-103064,19.4
