"Name","Team","Position","Salary","Projection","Ceiling","MVP Projection"
"Aaron Rodgers","GB","QB","16500","19.3","26.7","29.0"
"Justin Fields","CHI","QB","15000","15.7","22.1","23.6"
"Aaron Jones","GB","RB","14000","14.8","23.0","22.2"
"David Montgomery","CHI","RB","13500","11.0","15.4","16.5"
"AJ Dillon","GB","RB","13000","12.3","18.6","18.4"
"Allen Lazard","GB","WR","12000","9.2","15.6","13.8"
"Darnell Mooney","CHI","WR","11500","10.1","15.5","15.1"
"Sammy Watkins","GB","WR","10000","4.5","9.0","6.8"
"Khalil Herbert","CHI","RB","9500","5.0","7.9","7.4"
"Green Bay Packers","GB","D","9500","9.1","14.7","13.7"
"Mason Crosby","GB","K","9000","8.1","11.2","12.2"
"Cairo Santos","CHI","K","8500","6.1","10.7","9.2"
"Chicago Bears","CHI","D","8500","4.1","7.8","6.1"
"Cole Kmet","CHI","TE","8000","5.8","8.9","8.7"
"Christian Watson","GB","WR","8000","5.4","9.8","8.0"
"Patrick Taylor","GB","RB","7500","0.0","0.0","0.0"
"Robert Tonyan","GB","TE","7500","6.4","11.7","9.7"
"Romeo Doubs","GB","WR","7000","5.5","10.5","8.2"
"Dante Pettis","CHI","WR","7000","2.6","5.6","3.9"
"Byron Pringle","CHI","WR","6500","3.0","5.7","4.5"
"Randall Cobb","GB","WR","6500","5.1","10.7","7.7"
"Velus Jones Jr.","CHI","WR","6000","0.0","0.0","0.0"
"Josiah Deguara","GB","TE","6000","1.5","5.0","2.2"
"Equanimeous St. Brown","CHI","WR","6000","5.0","8.2","7.4"
"Juwann Winfree","GB","WR","5500","0.0","0.0","0.0"
"Ihmir Smith-Marsette","CHI","WR","5500","0.0","0.0","0.0"
"Darrynton Evans","CHI","RB","5500","0.0","0.0","0.0"
"Marcedes Lewis","GB","TE","5000","0.5","2.9","0.7"
"Shaun Beyer","GB","TE","5000","0.0","0.0","0.0"
"Trevor Siemian","CHI","QB","5000","0.0","0.0","0.0"
"Jordan Love","GB","QB","5000","0.0","0.0","0.0"
"Ryan Griffin","CHI","TE","5000","2.6","5.0","4.0"
"Nathan Peterman","CHI","QB","5000","0.0","0.0","0.0"
"Trevon Wesco","CHI","TE","5000","0.0","0.0","0.0"
"N'Keal Harry","CHI","WR","5000","0.0","0.0","0.0"
"Tyler Goodson","GB","RB","5000","0.0","0.0","0.0"
"Travis Fulgham","GB","WR","5000","0.0","0.0","0.0"
"Danny Etling","GB","QB","5000","0.0","0.0","0.0"
"Samori Toure","GB","WR","5000","0.0","0.0","0.0"
"Jack Coco","GB","TE","5000","0.0","0.0","0.0"
"Jake Tonges","CHI","TE","5000","0.0","0.0","0.0"
"Kylin Hill","GB","RB","5000","0.0","0.0","0.0"
"Nsimba Webster","CHI","WR","5000","0.0","0.0","0.0"
"Isaiah Coulter","CHI","WR","5000","0.0","0.0","0.0"
"Khari Blasingame","CHI","RB","5000","0.0","0.0","0.0"
"David Moore","CHI","WR","5000","0.0","0.0","0.0"
"Amari Rodgers","GB","WR","5000","0.0","0.0","0.0"
"Trestan Ebner","CHI","RB","5000","0.3","2.1","0.4"
