Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,Projected Ownership,Roster Position
80319-6498,QB,Tom,Tom Brady,Brady,19.05,19,16000,TB@DAL,TB,DAL,,,,,5800%,MVP - 1.5X Points/AnyFLEX
80319-31716,QB,Dak,Dak Prescott,Prescott,21.38,17,15500,TB@DAL,DAL,TB,,,,,6400%,MVP - 1.5X Points/AnyFLEX
80319-32384,WR,Mike,Mike Evans,Evans,16.79,18,14500,TB@DAL,TB,DAL,,,,,2500%,MVP - 1.5X Points/AnyFLEX
80319-86631,WR,CeeDee,CeeDee Lamb,Lamb,14.13,17,14000,TB@DAL,DAL,TB,,,,,3300%,MVP - 1.5X Points/AnyFLEX
80319-52922,RB,Leonard,Leonard Fournette,Fournette,13.08,15,13500,TB@DAL,TB,DAL,,,,,4900%,MVP - 1.5X Points/AnyFLEX
80319-38791,RB,Ezekiel,Ezekiel Elliott,Elliott,16.3,18,13000,TB@DAL,DAL,TB,,,,,2900%,MVP - 1.5X Points/AnyFLEX
80319-55635,WR,Chris,Chris Godwin,Godwin,11.9,14,12000,TB@DAL,TB,DAL,,,,,1000%,MVP - 1.5X Points/AnyFLEX
80319-52916,WR,Russell,Russell Gage,Gage,8.64,13,11000,TB@DAL,TB,DAL,,,,,1400%,MVP - 1.5X Points/AnyFLEX
80319-14190,WR,Julio,Julio Jones,Jones,11.17,11,10500,TB@DAL,TB,DAL,,,,,1300%,MVP - 1.5X Points/AnyFLEX
80319-63759,RB,Tony,Tony Pollard,Pollard,5.91,16,9500,TB@DAL,DAL,TB,,,,,3800%,MVP - 1.5X Points/AnyFLEX
80319-6767,K,Ryan,Ryan Succop,Succop,6.07,19,9500,TB@DAL,TB,DAL,,,,,100%,MVP - 1.5X Points/AnyFLEX
80319-55042,TE,Dalton,Dalton Schultz,Schultz,8.24,18,9000,TB@DAL,DAL,TB,,,,,4800%,MVP - 1.5X Points/AnyFLEX
80319-12551,D,Tampa Bay,Tampa Bay Buccaneers,Buccaneers,6.67,19,8500,TB@DAL,TB,DAL,,,,,1700%,MVP - 1.5X Points/AnyFLEX
80319-12530,D,Dallas,Dallas Cowboys,Cowboys,6.84,18,8000,TB@DAL,DAL,TB,,,,,800%,MVP - 1.5X Points/AnyFLEX
80319-54782,TE,Cameron,Cameron Brate,Brate,4.68,18,8000,TB@DAL,TB,DAL,,,,,700%,MVP - 1.5X Points/AnyFLEX
80319-137902,RB,Rachaad,Rachaad White,White,5.77,,7500,TB@DAL,TB,DAL,,,,,1000%,MVP - 1.5X Points/AnyFLEX
80319-56248,WR,Noah,Noah Brown,Brown,6.36,9,7500,TB@DAL,DAL,TB,,,,,3300%,MVP - 1.5X Points/AnyFLEX
80319-89613,WR,Simi,Simi Fehoko,Fehoko,1.77,,6500,TB@DAL,DAL,TB,,,,,1500%,MVP - 1.5X Points/AnyFLEX
80319-25290,RB,Giovani,Giovani Bernard,Bernard,4.16,12,5500,TB@DAL,TB,DAL,,,,,400%,MVP - 1.5X Points/AnyFLEX
80319-89680,TE,Jake,Jake Ferguson,Ferguson,1.86,,5500,TB@DAL,DAL,TB,,,,,200%,MVP - 1.5X Points/AnyFLEX
80319-86811,TE,Cade,Cade Otton,Otton,1.79,,5000,TB@DAL,TB,DAL,,,,,200%,MVP - 1.5X Points/AnyFLEX
