Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Min Exposure,Max Exposure,Projected Ownership,Roster Position
81398-79970,WR,Cooper,Cooper Kupp,Kupp,18.8,4,9500,DAL@LAR,LAR,DAL,,,,,2230%,WR/FLEX
81398-53562,RB,Nick,Nick Chubb,Chubb,14.7,4,9400,LAC@CLE,CLE,LAC,,,,,160%,RB/FLEX
81398-80001,RB,Austin,Austin Ekeler,Ekeler,16.2,4,9000,LAC@CLE,LAC,CLE,,,,,710%,RB/FLEX
81398-62239,QB,Josh,Josh Allen,Allen,25.2,4,9000,PIT@BUF,BUF,PIT,,,,,2700%,QB
81398-39280,RB,Derrick,Derrick Henry,Henry,17.2,4,8900,TEN@WAS,TEN,WAS,,,,,1460%,RB/FLEX
81398-85671,WR,Justin,Justin Jefferson,Jefferson,16.5,4,8800,CHI@MIN,MIN,CHI,,,,,1510%,WR/FLEX
81398-55050,RB,Christian,Christian McCaffrey,McCaffrey,16.7,4,8700,SF@CAR,CAR,SF,,,,,1180%,RB/FLEX
81398-25079,WR,Stefon,Stefon Diggs,Diggs,15.2,4,8600,PIT@BUF,BUF,PIT,,,,,1730%,WR/FLEX
81398-69531,QB,Jalen,Jalen Hurts,Hurts,24.4,4,8600,PHI@ARI,PHI,ARI,,,,,2400%,QB
81398-53681,WR,Tyreek,Tyreek Hill,Hill,16.5,4,8400,MIA@NYJ,MIA,NYJ,Q,Quadriceps,,,1380%,WR/FLEX
81398-45631,RB,Jamaal,Jamaal Williams,Williams,13.2,4,8300,DET@NE,DET,NE,,,,,260%,RB/FLEX
81398-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,11.9,3,8200,DET@NE,DET,NE,Q,Ankle,,,50%,WR/FLEX
81398-69189,QB,Justin,Justin Herbert,Herbert,19.5,4,8200,LAC@CLE,LAC,CLE,,,,,290%,QB
81398-63484,QB,Kyler,Kyler Murray,Murray,19.8,4,8100,PHI@ARI,ARI,PHI,,,,,460%,QB
81398-72846,WR,A.J.,A.J. Brown,Brown,14.6,4,8000,PHI@ARI,PHI,ARI,,,,,1030%,WR/FLEX
81398-130288,RB,James,James Robinson,Robinson,12.1,4,8000,HOU@JAC,JAC,HOU,,,,,250%,RB/FLEX
81398-38435,QB,Jared,Jared Goff,Goff,16,4,8000,DET@NE,DET,NE,,,,,50%,QB
81398-6498,QB,Tom,Tom Brady,Brady,21.7,4,7800,ATL@TB,TB,ATL,,,,,1100%,QB
81398-86687,WR,Marquise,Marquise Brown,Brown,13.8,4,7800,PHI@ARI,ARI,PHI,,,,,250%,WR/FLEX
81398-52922,RB,Leonard,Leonard Fournette,Fournette,16.8,4,7800,ATL@TB,TB,ATL,,,,,2330%,RB/FLEX
81398-90573,WR,Jaylen,Jaylen Waddle,Waddle,14.2,4,7700,MIA@NYJ,MIA,NYJ,Q,Groin,,,590%,WR/FLEX
81398-71845,RB,Miles,Miles Sanders,Sanders,12.8,4,7600,PHI@ARI,PHI,ARI,,,,,330%,RB/FLEX
81398-60858,WR,Christian,Christian Kirk,Kirk,14.1,4,7600,HOU@JAC,JAC,HOU,,,,,1030%,WR/FLEX
81398-89951,QB,Trevor,Trevor Lawrence,Lawrence,18.1,4,7600,HOU@JAC,JAC,HOU,,,,,270%,QB
81398-86055,RB,Dameon,Dameon Pierce,Pierce,14.3,4,7500,HOU@JAC,HOU,JAC,,,,,820%,RB/FLEX
